Text,Religious#Icon,Religious#Practices,Religious#Place,God,Religious#Group
"মহান আল্লাহ পাক নিষ্ঠুর নন,তিনি যা করবেন,মুসলিম ও ঈমানদানগনের জন্যে রহমত",2,2,2,1,2
আল্লাহ সর্বশক্তিমান আপনি আমাদের ইমন মজবুত করে দেন আমিন,2,2,2,1,2
আপনাকে মোবারক বাদ জানাই খুবই সুন্দর ভাবে গুছিয়ে শিক্ষণীয় হাদীস উপস্থাপন করার জন্য,2,1,2,2,2
খ্রিস্টান দের বিষয়ে 'কাফের' শব্দ ব্যাবহার করতে পারেন না। পবিত্র কোরআন এবং হাদীসের কোথাও তাদের কাফের বলা হয় নি।,2,2,2,2,1
"পবিত্র কোরআন পৃথিবীর সবচাইতে সমৃদ্ধ গ্রন্থ, যা কোন কবির রচিত কোন কবিতা নয়, নয় কোন মহাকবির মহাকাব্য",2,1,2,2,2
হুজুর আপনাকে এভাবে দেখে মনে হয় .আপনি হযরত মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম.এর জামানার একজন বিশ্বাসি আমলদার সাহাবি .দেখে কলিজাটা ঠান্ডা হয়ে যায় আলহামদুলিল্লাহ,1,2,2,2,2
"বর্তমানে আমার না আমাদের সবার প্রিয় একজন মানুষ হলেন মিজানুর রহমান আল আজহারি, আর এতো বড় একজন কোরানের খাদিমের সাথে আমি মুসাফা করতে পেরে নিজেকে অনেক ধন্য মনে করতেছি,আলহামদুলিল্লাহ্।",1,1,2,2,2
"হিংসুকের হিংসা থেকে, শত্রুর শত্রুতামী থেকে রক্ষা করে প্রিয় শায়খকে যেন আল্লাহতায়ালা মুসলিম উম্মা ও আমার দেশের জন্য কবুল করে এই দোয়া করি",1,2,2,1,1
নামাজ তোমার জীবনকে বদলাতে শুরু করে দিবে।,2,1,2,2,2
তুমি সুন্নাহ মানো তোমার দ্বীনের শুরু এবং রাতে ঘুমানোর পরিপূর্ণতা পাবে৷,2,1,2,2,2
সাময়িকভাবে আল্লাহ তা’আলা আমাদেরকে যেসকল দুঃখ-কষ্ট আর বিপদ-আপদের সম্মুখীন করেন তার কোনটাই অনর্থক নয়,2,2,2,1,2
ইসলাম শান্তির ধর্ম,2,2,2,2,1
পর্দা মুসলিম শিক্ষার্থীদের জ্ঞানার্জনের অন্তরায় নয়।,2,1,2,2,1
স্ত্রী কে কখনো তুই বলে সম্বোধন করা যাবে না আর গালাগালি মারামারি তো কল্পনাও করা যাবে না কারণ স্ত্রী হলো আপনার জন্য একটা বড় নিয়ামত,2,1,2,2,2
"ইসলামের মূল বাণী হল পূর্ববর্তী সকল নবীদের একই বার্তা: একমাত্র আল্লাহর ইবাদত করুন এবং তাঁকে ছাড়া অন্য কিছুর উপাসনা এড়িয়ে চলুন, তা সে ব্যক্তি, স্থান বা জিনিস হোক, প্রত্যক্ষ বা পরোক্ষভাবে।",1,1,2,1,2
ইসলাম ধর্ম গ্রহণের পর অমুসলিম পিতা-মাতার সম্পদ থেকে জীবিকা নির্বাহ অবৈধ নয়,2,1,2,2,2
কোরআন প্রতিযোগিতায় বিশ্ব জয় করে আসলেন হাফেজ ফয়সাল।,1,1,2,1,2
তারা যত হিন্দু ধর্মকে ছোট করবে এবং আমাদের হিন্দু ধর্ম এতটাই বড় হবে তারা এতটাই ছোট হবে সারা বিশ্বেই জানে তাদের ইসলাম মাথর 1500 বছর আগে আইছে আর আমাদের হিন্দু ধর্ম কত হাজার হাজার বছর আগে আইছে কৈয় বলতে পারেনা,2,2,2,2,1
দেব ইন্দ্র পৃথিবী কে স্থির রেখেছেন।,2,2,2,1,2
ইসলামও একটি জীবনব্যবস্থা। গণতন্ত্রের সঙ্গে ইসলামের বহু বিষয়ে মিল রয়েছে।,2,1,2,2,2
ভাগ্যবান সে নয় যাকে আল্লাহ অনেক ধন-সম্পদ দিয়েছে।বরং ভাগ্যবান সে যাকে আল্লাহ একজন ধর্মিক জীবন সঙ্গী দিয়েছেন,2,2,2,1,2
মনে রাখবেন আল্লাহ তায়ালা আমাদের কাছ থেকে যা কেড়ে নেন তার দিগুণ আবার ফিরিয়ে দেন।,2,2,2,1,2
"ইসলাম আমাদের শান্তির ধর্ম,এই বিজয় আমাদের মুসলিম জাতির বিজয়।",2,2,2,2,1
বিশ্ব ব্যাপি সকল মানুষ কে ইসলামের মর্যাদা বোঝার তৌফিক দান করুন আমিন,2,2,2,2,1
"আমার জন্য আমার আল্লাহ যথেষ্ট, নিশ্চয়ই আল্লাহ্ ধৈর্য্যশীলদের সাথে আছেন",2,2,2,1,2
"আলহামদুলিল্লাহ, ইসলামে স্বাগত জানাই, এবং আমি আপনাকে চাই, আল্লাহ আপনাকে একজন একনিষ্ঠ মুসলিম করুন",2,2,2,1,1
ইসলামে আমার প্রিয় ভাইকে স্বাগতম। আমি আপনাকে সত্যিই গর্বিত।,2,2,2,2,1
আলহামদুলিল্লাহ শান্তি ও ভালবাসার ধর্মে স্বাগতম। মাশাআল্লাহ আল্লাহ সুবহানাহু ওয়া তায়ালা আপনাকে এবং আপনার পরিবারের সকলের মঙ্গল করুন আমিন,2,2,2,1,1
"মাশাআল্লাহ, আপনাকে অর্থবহ এবং সম্পূর্ণ জীবনধারার ভাঁজে স্বাগতম",2,1,2,2,2
"মাশাআল্লাহ, সর্বশক্তিমান আল্লাহ তার দুর্দান্ত যাত্রায় তাকে আশীর্বাদ, সুরক্ষা এবং পথনির্দেশনা অব্যাহত রাখুন",2,2,2,1,2
"যে নারীদের জাহিলি যুগে মানুষ বলেই গন্য করা হতোনা,, ইসলাম সেই নারীকে দিয়েছে অপরিসীম মর্যাদা",2,1,2,2,1
ইসলাম নারীকে দিয়েছে সম্মান আর পশ্চিমারা দেয় লানচণা,2,1,2,2,1
যার চরিত্র কোন কালীমা নেই মানবজাতির সেরা শিক্ষক পৃথিবীতে এমন কোন যন্ত্র নেই যার চরিত্র মাপা যায় যার প্রেমে জীবন দিয়েছি সফে জানাবে মুহাম্মাদুর রাসুলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম,1,2,2,2,2
আল্লাহ আমাদের সহী বুঝ দান করুন।এবং মুহাম্মদ (স) এর জীবন থেকে শিক্ষা গ্রহনের জন্য বিশেষ জ্ঞান দান করুন।আমিন,1,2,2,1,2
রাসুল আমার ভালবাসা রাসুল আমার আলো আশা রাসুল আমার প্রেম বিরহের মুল আলচনা রাসুল আমার কাজে কর্মে অনুপ্রেরণা,1,2,2,2,2
নারীর সম্মান ইসলামই দিতে পারে,2,1,2,2,1
"সর্বোত্তম চরিত্রের অধিকারী রাসুল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম দুনিয়ার মানবমণ্ডলীর জন্য অনুকরণ-অনুসরণযোগ্য ব্যক্তিত্ব, যে মহামানবের মহত্তম জীবনের প্রতিটি পর্যায়ে রয়েছে উত্তম আদর্শ।",1,2,2,2,2
নবীজি একজন দুধমা হালিমাকে সারাজীবন মায়ের মত সম্মান করেছেন তাতেই তিনি কত মহান,1,2,2,2,2
মহানবীর ভ্রাতৃত্ব ও আদর্শ ছড়িয়ে পড়ুক সবার মাঝে।,1,2,2,2,2
"ধন্যবাদ স্যার, ইসলামের এমন সৌন্দর্য গুলো ফুটিয়ে তুলতে প্রথম আলোর আরো ভূমিকা চাই।",2,2,2,2,1
হযরত মুহাম্মদ (সাঃ) এর উম্মত হিসাবে একবার শুকরিয়া আদায় করি!,1,1,2,2,2
মহান আল্লাহ আমাদেরকে পাপ'মুক্ত জীবন-যাপন করার তৌফিক দান করুন.!,2,1,2,1,2
জীবনে সবচেয়ে বড় চাওয়া আল্লাহ যেন ঘুমের ঘরে নবিজীকে ১ বার হলে ও স্বপ্নে দেখান,1,2,2,1,2
১৯০ কোটি মানুষের কলিজার টুকরো হলেনহযরত মুহাম্মাদ (সাঃ) আলহামদুলিল্লাহ,1,2,2,2,1
"মানসিক শান্তি'ই বড় শান্তি.!আর সেই শান্তি শুধুমাত্র ""নামাজের"" মাধ্যমে'ই পাওয়া যায়.!",2,1,2,2,2
"আল্লাহর উপর পরিপূর্ণ বিশ্বাস রাখুন, আপনার দোয়াও কবুল হবে,ইনশা'আল্লাহ",2,1,2,1,2
"মা নামক জান্নাত টা এখনো যাদের বেচেঁ আছে,,তারা শুকরিয়া আদায় করি আলহামদুলিল্লাহ",2,1,2,2,2
"ইয়া রব,যতটুকু হেদায়াত পেয়েছি তা হারিয়ে যেতে দিবেন না, আর যে পাপের জন্য তওবা করেছি সে পাপ পুনরায় হতে দিবেন না",2,1,2,1,2
জান্নাতের পানি দুধের চেয়ে সাদা এবং মধুর চেয়ে মিষ্টি হবে আলহামদুলিল্লাহ,2,1,2,2,2
শুকরিয়াঐ মহান রবের প্রতি..যিনি ঘুম নামক মৃত্যু থেকে জাগিয়ে ফজর সালাত আদায়ের তৌফিক দিয়েছেন,2,1,2,1,2
ইসলামি বিশ্ব রাশিয়ার ওপর আরোপিত পশ্চিমা নিষেধাজ্ঞাকে সমর্থন করে না।,2,2,2,2,1
ইসলাম বিশ্বের দ্বিতীয় বৃহত্তর ধর্ম।,2,2,2,2,1
মুসলিম সম্প্রদায়ের সদস্যরা সামাজিক পর্যায়ে সাধারণভাবে সামগ্রিক ভদ্রতা এবং সমাজের সদস্যরা প্রশংসা করে এবং তাদের পরিচয় সবার সাথে মিলে চলে আসে।,2,1,2,2,1
মুসলিম সম্প্রদায়ের সদস্যরা সমাজে শিক্ষার্থীদের শিক্ষা প্রদানে এবং প্রশাসনিক ক্ষেত্রে উদ্যোগী এবং উন্নতি করতে উৎসাহিত করেন।,2,1,2,2,1
"""ইসলাম"" শব্দের আক্ষরিক অর্থ ""শান্তি"" এবং ""আত্মসমর্পণ""",2,2,2,2,1
"আল্লাহ এর দুটি সর্বাধিক সাধারণ বৈশিষ্ট্য হল ""দয়াময় এবং দয়ালু""",2,2,2,1,2
ইসলামের ঈমানের ঘোষণা সহজ,2,2,2,1,1
ইসলামকে যত দাবিয়ে রাখার চেষ্টা করবে।ততো বেশি ছড়িয়ে যাবে,2,2,2,2,1
মুসলিমদের অবাক হওয়ার কিছু নেই।প্রিয় নবী বলে গেছেন মানে হবেই হবে। ইনশাআল্লাহ্,1,1,2,2,1
"মানুষ বুজে গেছে ইসলাম ধর্ম ই সেরা,,,আমি গর্বিত আমি মুসলিম,,, আলহামদুলিল্লাহ",2,2,2,2,1
আমার জীবনের সবচেয়ে বড় উপহার। আল্লাহ আমাকে ইসলাম ধর্ম দান করেছেন আমিন,2,2,2,1,1
"আলহামদুলিল্লাহ, এবাবেই একদিন মুসলমানরা পূরা পৃথিবী স্বাধীন করবে, ইনশাআল্লাহ",2,2,2,2,1
"আলহামদুলিল্লাহ, এভাবেই ইসলাম পৃথিবীর এক মাত্র সত্য ধর্ম হয়ে মাথা উঁচু করে দাঁড়িয়ে থাকবে ইনশাআল্লাহ।",2,2,2,2,1
ইসলাম ধর্ম গ্রহণ করার জন্য ধন্যবাদ আলহামদুলিল্লাহ।,2,2,2,2,1
আমাদের রাসুলুল্লাহ সাঃ বলেছেন কিয়ামতে সব চাইতে বেশি হবে আমার উম্মত আলহামদুলিল্লাহ,1,2,2,2,2
আলহামদুলিল্লাহ আমি গর্বিত আমি মুসলিম,2,2,2,2,1
সবাই কে সত্যি শান্তির ধর্ম ইসলাম আলহামদুলিল্লাহ,2,2,2,2,1
"আলহামদুলিল্লাহ,, ইসলামের সুবাতাস ছরিয়ে পরুক পৃথিবীর সকল রাষ্ট্র ও মানুষের মনে,,,লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ সাঃ",1,2,2,2,1
আমাদের ইসলাম এমন একটা ধর্ম যা নিয়ে অল টাইম বিধর্মীরা গবেশনা করে।এই ধর্মে জন্মে আমি ধন্য।আমিন,2,2,2,2,1
আল্লাহ ৫০ সাল পরযুন্ত যেন বেঁচে থাকি। যেন আমার শান্তির ধর্মের সংখ্যা বেশি দেখে যেতে পারি।,2,2,2,1,2
কেউ সত্য খুঁজতে গেলে ইসলামকেই পাবে আর ইসলাম ধর্ম গ্রহণ করবে এটাই স্বাভাবিক।,2,2,2,2,1
"আল্লাহ সমস্ত মানুষ কে ইসলামের ছায়াতলে আশ্রয় নেবার তৌফিক দান করুন, আমিন সুম্মা আমিন",2,2,2,1,1
