Text,Religious#Icon,Religious#Practice,Religious#Place,God,Religious#Community
সাময়িকভাবে আল্লাহ তা’আলা আমাদেরকে যেসকল দুঃখ-কষ্ট আর বিপদ-আপদের সম্মুখীন করেন তার কোনটাই অনর্থক নয়,2,2,2,1,2
ইসলাম শান্তির ধর্ম,2,2,2,2,1
পর্দা মুসলিম শিক্ষার্থীদের জ্ঞানার্জনের অন্তরায় নয়।,2,1,2,2,1
স্ত্রী কে কখনো তুই বলে সম্বোধন করা যাবে না আর গালাগালি মারামারি তো কল্পনাও করা যাবে না কারণ স্ত্রী হলো আপনার জন্য একটা বড় নিয়ামত,2,1,2,2,2
"ইসলামের মূল বাণী হল পূর্ববর্তী সকল নবীদের একই বার্তা: একমাত্র আল্লাহর ইবাদত করুন এবং তাঁকে ছাড়া অন্য কিছুর উপাসনা এড়িয়ে চলুন, তা সে ব্যক্তি, স্থান বা জিনিস হোক, প্রত্যক্ষ বা পরোক্ষভাবে।",1,1,2,1,2
ইসলাম ধর্ম গ্রহণের পর অমুসলিম পিতা-মাতার সম্পদ থেকে জীবিকা নির্বাহ অবৈধ নয়,2,1,2,2,2
কোরআন প্রতিযোগিতায় বিশ্ব জয় করে আসলেন হাফেজ ফয়সাল।,1,1,2,1,2
তারা যত হিন্দু ধর্মকে ছোট করবে এবং আমাদের হিন্দু ধর্ম এতটাই বড় হবে তারা এতটাই ছোট হবে সারা বিশ্বেই জানে তাদের ইসলাম মাথর 1500 বছর আগে আইছে আর আমাদের হিন্দু ধর্ম কত হাজার হাজার বছর আগে আইছে কৈয় বলতে পারেনা,2,2,2,2,1
দেব ইন্দ্র পৃথিবী কে স্থির রেখেছেন।,2,2,2,1,2
ইসলামও একটি জীবনব্যবস্থা। গণতন্ত্রের সঙ্গে ইসলামের বহু বিষয়ে মিল রয়েছে।,2,1,2,2,2
ভাগ্যবান সে নয় যাকে আল্লাহ অনেক ধন-সম্পদ দিয়েছে।বরং ভাগ্যবান সে যাকে আল্লাহ একজন ধর্মিক জীবন সঙ্গী দিয়েছেন,2,2,2,1,2
মনে রাখবেন আল্লাহ তায়ালা আমাদের কাছ থেকে যা কেড়ে নেন তার দিগুণ আবার ফিরিয়ে দেন।,2,2,2,1,2
"ইসলাম আমাদের শান্তির ধর্ম,এই বিজয় আমাদের মুসলিম জাতির বিজয়।",2,2,2,2,1
বিশ্ব ব্যাপি সকল মানুষ কে ইসলামের মর্যাদা বোঝার তৌফিক দান করুন আমিন,2,2,2,2,1
"আমার জন্য আমার আল্লাহ যথেষ্ট, নিশ্চয়ই আল্লাহ্ ধৈর্য্যশীলদের সাথে আছেন",2,2,2,1,2
"আলহামদুলিল্লাহ, ইসলামে স্বাগত জানাই, এবং আমি আপনাকে চাই, আল্লাহ আপনাকে একজন একনিষ্ঠ মুসলিম করুন",2,2,2,1,1
ইসলামে আমার প্রিয় ভাইকে স্বাগতম। আমি আপনাকে সত্যিই গর্বিত।,2,2,2,2,1
আলহামদুলিল্লাহ শান্তি ও ভালবাসার ধর্মে স্বাগতম। মাশাআল্লাহ আল্লাহ সুবহানাহু ওয়া তায়ালা আপনাকে এবং আপনার পরিবারের সকলের মঙ্গল করুন আমিন,2,2,2,1,1
"মাশাআল্লাহ, আপনাকে অর্থবহ এবং সম্পূর্ণ জীবনধারার ভাঁজে স্বাগতম",2,1,2,2,2
"মাশাআল্লাহ, সর্বশক্তিমান আল্লাহ তার দুর্দান্ত যাত্রায় তাকে আশীর্বাদ, সুরক্ষা এবং পথনির্দেশনা অব্যাহত রাখুন",2,2,2,1,2
"যে নারীদের জাহিলি যুগে মানুষ বলেই গন্য করা হতোনা,, ইসলাম সেই নারীকে দিয়েছে অপরিসীম মর্যাদা",2,1,2,2,1
ইসলাম নারীকে দিয়েছে সম্মান আর পশ্চিমারা দেয় লানচণা,2,1,2,2,1
যার চরিত্র কোন কালীমা নেই মানবজাতির সেরা শিক্ষক পৃথিবীতে এমন কোন যন্ত্র নেই যার চরিত্র মাপা যায় যার প্রেমে জীবন দিয়েছি সফে জানাবে মুহাম্মাদুর রাসুলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম,1,2,2,2,2
আল্লাহ আমাদের সহী বুঝ দান করুন।এবং মুহাম্মদ (স) এর জীবন থেকে শিক্ষা গ্রহনের জন্য বিশেষ জ্ঞান দান করুন।আমিন,1,2,2,1,2
রাসুল আমার ভালবাসা রাসুল আমার আলো আশা রাসুল আমার প্রেম বিরহের মুল আলচনা রাসুল আমার কাজে কর্মে অনুপ্রেরণা,1,2,2,2,2
নারীর সম্মান ইসলামই দিতে পারে,2,1,2,2,1
"সর্বোত্তম চরিত্রের অধিকারী রাসুল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম দুনিয়ার মানবমণ্ডলীর জন্য অনুকরণ-অনুসরণযোগ্য ব্যক্তিত্ব, যে মহামানবের মহত্তম জীবনের প্রতিটি পর্যায়ে রয়েছে উত্তম আদর্শ।",1,2,2,2,2
নবীজি একজন দুধমা হালিমাকে সারাজীবন মায়ের মত সম্মান করেছেন তাতেই তিনি কত মহান,1,2,2,2,2
